Team,Wins,Losses,PF,PA,PF:PA,Moves,Trades,PYTH,PYTH (ADJ),APS,SKILL,LUCK,SKILL ADJ,LUCK ADJ,SORTNAME,SORTPYTH,SORTNAMEADJ,SORTPYTHADJ
Maverick,11,4,1463.9,1294.44,1.130913754,22,0,8.418067435,9.845405456,1390.298,1.052939729,1.074053645,5.501384924,6.739514209,he got a tight end,2.645115129,he got a tight end,2.881371216
he got a tight end,10,5,1309.14,1334.72,0.980834932,12,0,7.354884871,7.118628784,1390.298,0.941625464,1.041640194,-6.267828831,4.332960444,Maverick,2.581932565,Maverick,1.154594544
Oceans Eighteen,9,6,1459.9,1434.1,1.017990377,11,1,7.633714321,7.851448351,1390.298,1.050062648,0.969456802,4.736910478,-2.954052865,Oceans Eighteen,1.366285679,Oceans Eighteen,1.148551649
Jamarrcan Bobsled Team,9,6,1383.28,1330.34,1.039794338,38,0,7.792523596,8.267036358,1390.298,0.994952161,1.045069681,-0.528470098,4.428784708,Jamarrcan Bobsled Team,1.207476404,Jamarrcan Bobsled Team,0.732963642
The Mighty Martians,8,7,1507.78,1330.06,1.133618032,15,0,8.435706677,9.887825173,1390.298,1.084501308,1.045289686,8.422395979,4.053693045,The Mighty Martians,-0.435706677,Toughdowns Field Goals etc,0.347417659
Public Transit Advocacy Group,6,9,1460.98,1356.12,1.077323541,17,1,8.057567612,8.950607486,1390.298,1.05083946,1.025202784,5.071921822,2.362313001,buy me flowers first,-0.978259889,buy me flowers first,-0.140784512
Show me your TD's ,6,9,1386.34,1481.92,0.935502591,10,0,7.000704357,6.198221631,1390.298,0.997153128,0.938173451,-0.266873851,-6.390401389,Show me your TD's ,-1.000704357,Show me your TD's ,-0.198221631
buy me flowers first,6,9,1327,1422.76,0.9326942,24,1,6.978259889,6.140784512,1390.298,0.954471631,0.977183784,-4.544031069,-2.412503738,Toughdowns Field Goals etc,-1.368985372,Honey Bijan Chips,-1.037324769
Honey Bijan Chips,5,10,1319.34,1422.26,0.927636297,27,1,6.937690602,6.037324769,1390.298,0.948962021,0.977527316,-5.10884645,-2.388612187,Honey Bijan Chips,-1.937690602,The Mighty Martians,-1.887825173
Toughdowns Field Goals etc,5,10,1285.32,1496.26,0.859021828,8,0,6.368985372,4.652582341,1390.298,0.949,0.929182094,-5.7,-7.861164727,Public Transit Advocacy Group,-2.057567612,Public Transit Advocacy Group,-2.950607486